,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
400,0.4199,Tue Dec 12 02:01:41 +0000 2017,0.642,0.0,0.358,1,@New York times
401,0.7096,Tue Dec 12 01:46:44 +0000 2017,0.404,0.0,0.596,2,@New York times
402,0.8807,Tue Dec 12 00:36:30 +0000 2017,0.595,0.0,0.405,3,@New York times
403,0.5574,Tue Dec 12 00:36:25 +0000 2017,0.783,0.0,0.217,4,@New York times
404,0.6705,Tue Dec 12 00:35:59 +0000 2017,0.476,0.0,0.524,5,@New York times
405,0.7824,Tue Dec 12 00:35:54 +0000 2017,0.623,0.0,0.377,6,@New York times
406,0.743,Tue Dec 12 00:35:48 +0000 2017,0.717,0.0,0.283,7,@New York times
407,0.5719,Tue Dec 12 00:35:43 +0000 2017,0.802,0.0,0.198,8,@New York times
408,-0.34,Tue Dec 12 00:35:38 +0000 2017,0.556,0.278,0.167,9,@New York times
409,0.0,Tue Dec 12 00:34:45 +0000 2017,0.0,0.0,0.0,10,@New York times
410,0.0,Tue Dec 12 00:34:39 +0000 2017,0.0,0.0,0.0,11,@New York times
411,0.0,Tue Dec 12 00:34:34 +0000 2017,0.0,0.0,0.0,12,@New York times
412,0.0,Tue Dec 12 00:34:28 +0000 2017,0.0,0.0,0.0,13,@New York times
413,0.0,Tue Dec 12 00:34:23 +0000 2017,0.0,0.0,0.0,14,@New York times
414,0.0,Tue Dec 12 00:34:17 +0000 2017,0.0,0.0,0.0,15,@New York times
415,0.0,Tue Dec 12 00:34:12 +0000 2017,0.0,0.0,0.0,16,@New York times
416,0.7067,Sat Dec 09 18:18:18 +0000 2017,0.755,0.0,0.245,17,@New York times
417,0.4199,Tue Dec 12 02:01:41 +0000 2017,0.642,0.0,0.358,18,@New York times
418,0.7096,Tue Dec 12 01:46:44 +0000 2017,0.404,0.0,0.596,19,@New York times
419,0.8807,Tue Dec 12 00:36:30 +0000 2017,0.595,0.0,0.405,20,@New York times
420,0.5574,Tue Dec 12 00:36:25 +0000 2017,0.783,0.0,0.217,21,@New York times
421,0.6705,Tue Dec 12 00:35:59 +0000 2017,0.476,0.0,0.524,22,@New York times
422,0.7824,Tue Dec 12 00:35:54 +0000 2017,0.623,0.0,0.377,23,@New York times
423,0.743,Tue Dec 12 00:35:48 +0000 2017,0.717,0.0,0.283,24,@New York times
424,0.5719,Tue Dec 12 00:35:43 +0000 2017,0.802,0.0,0.198,25,@New York times
425,-0.34,Tue Dec 12 00:35:38 +0000 2017,0.556,0.278,0.167,26,@New York times
426,0.0,Tue Dec 12 00:34:45 +0000 2017,0.0,0.0,0.0,27,@New York times
427,0.0,Tue Dec 12 00:34:39 +0000 2017,0.0,0.0,0.0,28,@New York times
428,0.0,Tue Dec 12 00:34:34 +0000 2017,0.0,0.0,0.0,29,@New York times
429,0.0,Tue Dec 12 00:34:28 +0000 2017,0.0,0.0,0.0,30,@New York times
430,0.0,Tue Dec 12 00:34:23 +0000 2017,0.0,0.0,0.0,31,@New York times
431,0.0,Tue Dec 12 00:34:17 +0000 2017,0.0,0.0,0.0,32,@New York times
432,0.0,Tue Dec 12 00:34:12 +0000 2017,0.0,0.0,0.0,33,@New York times
433,0.7067,Sat Dec 09 18:18:18 +0000 2017,0.755,0.0,0.245,34,@New York times
434,0.4199,Tue Dec 12 02:01:41 +0000 2017,0.642,0.0,0.358,35,@New York times
435,0.7096,Tue Dec 12 01:46:44 +0000 2017,0.404,0.0,0.596,36,@New York times
436,0.8807,Tue Dec 12 00:36:30 +0000 2017,0.595,0.0,0.405,37,@New York times
437,0.5574,Tue Dec 12 00:36:25 +0000 2017,0.783,0.0,0.217,38,@New York times
438,0.6705,Tue Dec 12 00:35:59 +0000 2017,0.476,0.0,0.524,39,@New York times
439,0.7824,Tue Dec 12 00:35:54 +0000 2017,0.623,0.0,0.377,40,@New York times
440,0.743,Tue Dec 12 00:35:48 +0000 2017,0.717,0.0,0.283,41,@New York times
441,0.5719,Tue Dec 12 00:35:43 +0000 2017,0.802,0.0,0.198,42,@New York times
442,-0.34,Tue Dec 12 00:35:38 +0000 2017,0.556,0.278,0.167,43,@New York times
443,0.0,Tue Dec 12 00:34:45 +0000 2017,0.0,0.0,0.0,44,@New York times
444,0.0,Tue Dec 12 00:34:39 +0000 2017,0.0,0.0,0.0,45,@New York times
445,0.0,Tue Dec 12 00:34:34 +0000 2017,0.0,0.0,0.0,46,@New York times
446,0.0,Tue Dec 12 00:34:28 +0000 2017,0.0,0.0,0.0,47,@New York times
447,0.0,Tue Dec 12 00:34:23 +0000 2017,0.0,0.0,0.0,48,@New York times
448,0.0,Tue Dec 12 00:34:17 +0000 2017,0.0,0.0,0.0,49,@New York times
449,0.0,Tue Dec 12 00:34:12 +0000 2017,0.0,0.0,0.0,50,@New York times
450,0.7067,Sat Dec 09 18:18:18 +0000 2017,0.755,0.0,0.245,51,@New York times
451,0.4199,Tue Dec 12 02:01:41 +0000 2017,0.642,0.0,0.358,52,@New York times
452,0.7096,Tue Dec 12 01:46:44 +0000 2017,0.404,0.0,0.596,53,@New York times
453,0.8807,Tue Dec 12 00:36:30 +0000 2017,0.595,0.0,0.405,54,@New York times
454,0.5574,Tue Dec 12 00:36:25 +0000 2017,0.783,0.0,0.217,55,@New York times
455,0.6705,Tue Dec 12 00:35:59 +0000 2017,0.476,0.0,0.524,56,@New York times
456,0.7824,Tue Dec 12 00:35:54 +0000 2017,0.623,0.0,0.377,57,@New York times
457,0.743,Tue Dec 12 00:35:48 +0000 2017,0.717,0.0,0.283,58,@New York times
458,0.5719,Tue Dec 12 00:35:43 +0000 2017,0.802,0.0,0.198,59,@New York times
459,-0.34,Tue Dec 12 00:35:38 +0000 2017,0.556,0.278,0.167,60,@New York times
460,0.0,Tue Dec 12 00:34:45 +0000 2017,0.0,0.0,0.0,61,@New York times
461,0.0,Tue Dec 12 00:34:39 +0000 2017,0.0,0.0,0.0,62,@New York times
462,0.0,Tue Dec 12 00:34:34 +0000 2017,0.0,0.0,0.0,63,@New York times
463,0.0,Tue Dec 12 00:34:28 +0000 2017,0.0,0.0,0.0,64,@New York times
464,0.0,Tue Dec 12 00:34:23 +0000 2017,0.0,0.0,0.0,65,@New York times
465,0.0,Tue Dec 12 00:34:17 +0000 2017,0.0,0.0,0.0,66,@New York times
466,0.0,Tue Dec 12 00:34:12 +0000 2017,0.0,0.0,0.0,67,@New York times
467,0.7067,Sat Dec 09 18:18:18 +0000 2017,0.755,0.0,0.245,68,@New York times
468,0.4199,Tue Dec 12 02:01:41 +0000 2017,0.642,0.0,0.358,69,@New York times
469,0.7096,Tue Dec 12 01:46:44 +0000 2017,0.404,0.0,0.596,70,@New York times
470,0.8807,Tue Dec 12 00:36:30 +0000 2017,0.595,0.0,0.405,71,@New York times
471,0.5574,Tue Dec 12 00:36:25 +0000 2017,0.783,0.0,0.217,72,@New York times
